feature,importance
is_ny_session,160858.1875
is_overlap_session,25930.3515625
hour_of_day,10956.5068359375
spread_proxy,9461.240234375
atr_close_ratio,8384.328125
returns_20bar_std,5643.48828125
rsi_overbought,3610.28125
is_london_session,3471.103515625
day_of_week,2268.5107421875
ema20_above_50,1986.0623779296875
direction_flag,1554.39990234375
ema50_slope,1537.36279296875
ema_bullish_alignment,1516.2044677734375
volume_regime,1389.426513671875
ema50_above_200,1359.1097412109375
macd_signal,1288.423095703125
ema200_ratio,1275.3251953125
ema50_ratio,1159.94873046875
stoch_oversold,1132.593505859375
obv_slope,1056.5633544921875
bb_width_pct,987.577880859375
returns_kurt,936.9086303710938
ema20_slope,924.022705078125
macd_histogram,888.1831665039062
returns_20bar_mean,819.37109375
returns_5bar_mean,810.2775268554688
rsi14,786.3717651367188
returns_skew,744.0210571289062
lower_shadow_pct,729.4451904296875
vwap_distance,728.5472412109375
