trees,train_rmse,val_rmse
1,10.47257281770303,15.417910669586247
9,10.534222593472945,15.408727594584883
17,10.674740280726265,15.53894255210032
26,10.826931173187754,15.670772340152311
34,10.947522724311156,15.7722663753994
43,11.058721868489728,15.84701503823083
51,11.150952724786709,15.925474523452552
60,11.244428837648316,15.96474385863042
68,11.315179560368906,16.019553788319786
77,11.380025734984043,16.062301604363956
85,11.44200119390495,16.103150482851728
94,11.489828385413857,16.118766860789773
102,11.523031932958226,16.135593598997026
110,11.522848801136506,16.099082344953374
119,11.521607239804279,16.055272490896794
127,11.544322951911754,16.05812972000513
136,11.571903990174421,16.04834772349586
144,11.58034788482031,16.031988193844395
153,11.630541789446422,16.074340307728026
161,11.648844178269444,16.08592129308696
170,11.667581123044153,16.107107925342532
178,11.692968583844511,16.113950205089683
187,11.70351062203423,16.109159078002943
195,11.715844936691713,16.11152046143347
203,11.720459033922294,16.11108614265347
212,11.708360883633963,16.083678562784584
220,11.736262972947344,16.11390464713589
229,11.74040829726077,16.11418908191999
237,11.746404775051337,16.1134791476799
246,11.767720940197474,16.127787891804946
254,11.765569220209144,16.130974810470295
263,11.779054956762781,16.138784016467213
271,11.78561578762002,16.12780759396477
280,11.794269950576671,16.12302119519282
288,11.816768360072029,16.1275899987574
297,11.80066104559395,16.095116550071904
305,11.794346991984591,16.084509858320693
313,11.791535057452359,16.07657617918009
322,11.792337626645384,16.065972770060693
330,11.797473338779803,16.06598144843163
339,11.806901448599412,16.071349830104936
347,11.809343140581527,16.070239457154955
356,11.809937822018663,16.06952621475475
364,11.81180583648748,16.06680764953474
373,11.810799400379112,16.065109622577936
381,11.812264558275022,16.06259075243748
390,11.81331625397764,16.05997846612404
398,11.823833850796262,16.06442149295767
406,11.830793038492148,16.066125791332727
415,11.833407270268594,16.056080616843563
423,11.829002342761173,16.03815036522699
432,11.84644615173782,16.049792492913156
440,11.856962482657567,16.04999199596845
449,11.85765194852212,16.050996617628662
457,11.852156777856884,16.041708759850646
466,11.834610241216584,16.016560863585262
474,11.837526243701348,16.029055150461456
483,11.839908143964353,16.023726502231593
491,11.840550830784233,16.023879400982892
500,11.837101717448002,16.01847201493759
